                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.6611,                 1.1159,                0.87525,                 1.7888,                  1.222,                0.87427,                 0.8242,                 0.6542,                0.71611,                0.37862,                 1.8544,                 1.4795,                0.90317,                 1.9685,                 1.5474,                0.91469,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.6546,                 1.0969,                0.87053,                 1.8088,                 1.2136,                0.87349,                0.85381,                0.55349,                0.65844,                0.35628,                 1.9377,                  1.629,                 0.9085,                 2.0123,                 1.5806,                0.91236,               0.005842,               0.005842,               0.005842
                     87,                 1.6805,                 1.1053,                0.87276,                 1.8193,                 1.1978,                0.87325,                0.87922,                0.53953,                 0.6668,                0.37257,                 1.9318,                 1.5188,                0.90946,                 2.0266,                 1.5889,                 0.9164,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.6886,                 1.1602,                0.87098,                 1.8203,                 1.2912,                0.87094,                 0.8069,                0.62791,                0.69296,                0.36436,                 1.8403,                 1.5801,                 0.9125,                 1.9091,                 1.6472,                0.90779,               0.005743,               0.005743,               0.005743
                     89,                 1.6533,                 1.0967,                0.85932,                 1.8057,                 1.2129,                0.86067,                0.82211,                0.65581,                0.71807,                0.39878,                  1.744,                 1.5393,                0.90363,                 1.8004,                 1.5652,                0.90303,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.6945,                 1.0895,                0.86529,                 1.8278,                 1.2256,                 0.8676,                0.82169,                0.65581,                0.73655,                0.40732,                 1.8018,                 1.5133,                0.89872,                 1.8501,                 1.5078,                0.89758,               0.005644,               0.005644,               0.005644
                     91,                 1.6794,                 1.0946,                0.86607,                 1.8309,                 1.2065,                0.87311,                0.82116,                0.55814,                0.65539,                0.35371,                 1.8314,                 1.5603,                0.89729,                 1.8855,                 1.6226,                0.89692,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.6544,                 1.0996,                0.87926,                 1.7961,                 1.2251,                0.87372,                0.73756,                0.51163,                0.59323,                0.30934,                 2.1353,                 15.088,                0.92631,                 2.1812,                 1.7771,                0.92767,               0.005545,               0.005545,               0.005545
                     93,                 1.6584,                 1.1038,                0.87305,                 1.7978,                  1.206,                0.87349,                0.78945,                0.62326,                0.68085,                0.36938,                 1.7838,                 1.6469,                0.90409,                 1.8114,                 1.7291,                0.90161,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.6519,                 1.0978,                0.86393,                 1.7967,                 1.2357,                0.86497,                 0.8403,                0.67442,                 0.7261,                0.38803,                 1.7614,                 1.5644,                0.89362,                 1.8617,                 1.5341,                0.89828,               0.005446,               0.005446,               0.005446
