                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.0491,                0.61539,                0.94519,                 1.1979,                0.65422,                0.94732,                0.98816,                0.91743,                0.94329,                0.68725,                0.98102,                0.56132,                 0.9391,                 1.0929,                0.44845,                 0.9299,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0577,                0.58503,                 0.9299,                 1.2238,                0.58421,                0.94199,                0.99008,                0.91563,                 0.9473,                0.69001,                0.92419,                0.53002,                0.94162,                 1.0622,                0.38714,                0.95496,               0.007723,               0.007723,               0.007723
                     49,                 1.0359,                0.57587,                0.94725,                 1.2025,                0.56753,                0.95079,                      1,                0.93413,                0.94855,                0.69798,                0.92758,                0.48617,                0.93425,                 1.0472,                0.39515,                0.95307,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0414,                0.57792,                0.93808,                 1.2003,                0.59389,                0.94058,                0.98988,                0.89745,                0.94286,                0.64698,                0.96253,                0.52744,                0.95895,                  1.142,                0.47269,                0.96141,               0.007624,               0.007624,               0.007624
                     51,                 1.0204,                0.55358,                0.92785,                 1.1672,                0.52498,                0.92963,                0.96223,                0.93488,                0.94351,                0.67422,                 1.0317,                0.62492,                0.94253,                  1.085,                0.51813,                0.94742,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0506,                0.57994,                0.92558,                  1.223,                0.57824,                0.93771,                0.98073,                0.93372,                0.94422,                0.70046,                0.91561,                0.52912,                0.92572,                0.97108,                0.43155,                0.93989,               0.007525,               0.007525,               0.007525
                     53,                 1.0475,                0.58122,                0.93846,                 1.2072,                0.56636,                0.94281,                0.99251,                0.85321,                0.94481,                0.69152,                0.90891,                0.58858,                0.92992,                0.98862,                0.53134,                0.93921,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0847,                0.59769,                0.95932,                 1.2246,                 0.5813,                0.95889,                0.97932,                0.86909,                0.92003,                0.64256,                 1.0829,                0.67144,                0.98929,                 1.1254,                0.59924,                0.99511,               0.007426,               0.007426,               0.007426
                     55,                 1.0442,                    0.6,                0.94251,                  1.197,                0.60209,                0.95302,                0.98831,                0.88991,                0.93458,                0.66101,                0.91901,                0.61833,                0.93564,                 1.1404,                0.96451,                0.95279,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.0582,                0.58824,                0.94414,                 1.2045,                0.58345,                0.94246,                0.97816,                0.89908,                0.93416,                0.67676,                0.98206,                0.54215,                0.92814,                  1.137,                0.50071,                0.94502,               0.007327,               0.007327,               0.007327
