                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0284,                0.50685,                0.88821,                 1.2677,                0.53185,                0.88911,                0.87748,                0.77891,                0.81292,                0.52878,                 1.1882,                0.55458,                0.92261,                 1.3606,                0.55842,                0.92908,              7.459e-05,              7.459e-05,              7.459e-05
                     80,                 1.0219,                0.50893,                0.88941,                 1.2625,                0.53893,                0.89114,                0.85151,                 0.7083,                0.78111,                0.49166,                 1.2168,                 0.5765,                0.92655,                 1.3808,                0.58296,                 0.9308,              7.426e-05,              7.426e-05,              7.426e-05
                     81,                 1.0142,                0.49699,                0.88464,                 1.2605,                0.52392,                 0.8874,                0.88805,                0.70368,                0.79163,                0.50503,                  1.199,                0.56086,                0.92466,                 1.3751,                0.57084,                0.93105,              7.393e-05,              7.393e-05,              7.393e-05
                     82,                 1.0263,                0.50636,                0.88677,                 1.2809,                0.54263,                0.88986,                 0.8439,                0.78784,                 0.8203,                0.53569,                 1.1895,                0.55112,                0.92036,                 1.3657,                0.55596,                0.92877,               7.36e-05,               7.36e-05,               7.36e-05
                     83,                 1.0171,                0.49951,                  0.886,                 1.2663,                0.52529,                0.88875,                0.85706,                0.77031,                0.81391,                0.52979,                 1.1999,                0.55807,                0.92521,                 1.3645,                0.57064,                0.92905,              7.327e-05,              7.327e-05,              7.327e-05
                     84,                 1.0299,                 0.5025,                0.88491,                 1.2815,                0.52933,                0.88763,                 0.8645,                  0.708,                 0.8007,                0.51913,                 1.1987,                0.55391,                0.92383,                 1.3763,                0.56709,                0.93163,              7.294e-05,              7.294e-05,              7.294e-05
                     85,                  1.013,                0.49392,                0.88255,                 1.2645,                0.52263,                0.88573,                0.85777,                 0.7874,                0.81895,                0.53446,                 1.2095,                0.55886,                0.92537,                 1.3752,                0.57035,                0.93188,              7.261e-05,              7.261e-05,              7.261e-05
                     86,                 1.0113,                 0.4929,                 0.8846,                 1.2556,                0.51303,                0.88763,                0.88727,                0.76729,                0.82336,                0.52995,                 1.2042,                0.56122,                0.92668,                  1.377,                0.57175,                0.93257,              7.228e-05,              7.228e-05,              7.228e-05
                     87,                0.99564,                0.48863,                0.88021,                 1.2394,                0.51354,                0.88312,                0.91101,                0.77701,                0.82986,                0.54392,                 1.2181,                0.55534,                0.92666,                 1.3905,                0.54991,                0.93365,              7.195e-05,              7.195e-05,              7.195e-05
                     88,                 1.0081,                0.49476,                0.88013,                 1.2511,                0.51487,                0.88322,                0.85696,                0.81402,                0.82477,                0.52766,                 1.2022,                0.54784,                0.92395,                 1.3757,                0.54819,                 0.9322,              7.162e-05,              7.162e-05,              7.162e-05
                     89,                 1.0116,                0.49516,                0.88246,                 1.2595,                0.51034,                0.88599,                0.83978,                0.78174,                0.82287,                0.53482,                 1.2093,                0.55202,                0.93067,                 1.3857,                0.56232,                0.93581,              7.129e-05,              7.129e-05,              7.129e-05
                     90,                 1.0012,                0.49071,                0.88139,                 1.2373,                0.50378,                0.88554,                0.90285,                0.75158,                 0.8027,                0.51493,                 1.2207,                0.55473,                0.92895,                  1.399,                0.55803,                0.93836,              7.096e-05,              7.096e-05,              7.096e-05
                     91,                 1.0007,                0.49443,                0.87943,                 1.2545,                 0.5161,                 0.8832,                0.84988,                0.72486,                0.76324,                0.47545,                 1.2056,                0.56242,                0.92566,                 1.3824,                0.56422,                0.93317,              7.063e-05,              7.063e-05,              7.063e-05
                     92,                0.99894,                0.48918,                 0.8839,                 1.2507,                0.51692,                0.88774,                  0.875,                0.71321,                0.77712,                0.49151,                 1.2108,                0.55908,                0.93133,                 1.3844,                0.56507,                0.93834,               7.03e-05,               7.03e-05,               7.03e-05
                     93,                0.99719,                0.48368,                0.87902,                 1.2476,                0.50732,                 0.8823,                0.86731,                0.75977,                0.80796,                0.52801,                 1.2028,                0.55315,                 0.9274,                 1.3703,                0.56024,                0.93289,              6.997e-05,              6.997e-05,              6.997e-05
                     94,                0.98953,                0.48425,                 0.8802,                 1.2377,                0.50471,                0.88399,                0.86798,                 0.7466,                0.80005,                0.50952,                 1.2057,                0.55537,                0.92645,                 1.3686,                0.55871,                  0.933,              6.964e-05,              6.964e-05,              6.964e-05
                     95,                 0.9841,                0.48352,                0.88013,                 1.2353,                0.50419,                 0.8851,                0.89789,                0.73003,                0.78833,                 0.5117,                 1.2057,                0.55708,                0.92801,                 1.3717,                0.56583,                0.93651,              6.931e-05,              6.931e-05,              6.931e-05
                     96,                 1.0018,                0.48533,                 0.8773,                 1.2483,                0.50503,                0.88129,                0.88095,                0.74595,                0.82445,                0.53062,                 1.2026,                0.55504,                0.92582,                  1.366,                0.56121,                  0.932,              6.898e-05,              6.898e-05,              6.898e-05
                     97,                0.98359,                0.47822,                0.87738,                 1.2359,                  0.498,                0.88102,                0.85336,                 0.7196,                0.79514,                0.50193,                 1.2282,                0.56397,                 0.9313,                 1.3976,                0.57917,                0.93903,              6.865e-05,              6.865e-05,              6.865e-05
                     98,                0.97118,                0.47167,                0.87492,                 1.2251,                0.49818,                 0.8765,                0.81933,                0.77411,                0.78801,                 0.5161,                 1.2051,                0.55034,                0.92718,                 1.3811,                 0.5588,                0.93568,              6.832e-05,              6.832e-05,              6.832e-05
                     99,                0.97433,                0.47376,                0.87603,                 1.2185,                 0.4924,                0.87928,                0.94115,                0.76203,                0.82811,                 0.5423,                 1.2045,                0.54482,                 0.9269,                 1.3724,                0.55462,                0.93313,              6.799e-05,              6.799e-05,              6.799e-05
                    100,                0.97663,                 0.4786,                 0.8767,                 1.2299,                 0.5102,                0.88067,                0.81379,                0.76305,                0.79198,                 0.5083,                 1.1994,                0.55769,                 0.9249,                 1.3725,                0.56415,                0.93252,              6.766e-05,              6.766e-05,              6.766e-05
                    101,                0.97432,                0.47391,                 0.8755,                 1.2219,                0.48977,                0.88013,                 0.8449,                0.72391,                0.81739,                0.51999,                 1.2052,                0.55477,                0.92578,                  1.379,                0.55959,                0.93444,              6.733e-05,              6.733e-05,              6.733e-05
